Feature Code,Point / Line,Name,Category
AC,L,Asphalt Pavement Crown,F-ZONE 1
ACU,P,Air Conditioning Unit,F-ZONE 1
AGF,L,Agricultural Field or Farmland (Not Groves or Orchards),NOT USED
AGV,L,Vaults Above Grade,F-ZONE 3
AHEAD,P,Ahead Symbol,F-ZONE 1
ANT,P,Antenna,F-ZONE 3
AP,L,Asphalt Pavement Edge,F-ZONE 1
APRS,L,Bridge Approaches and Slabs,F-ZONE 1
ARST,L,Archeological Site,NOT USED
AT,P,Control Monuments - Aerial Targets,F-ZONE 5
ATTN,L,Attenuator Systems,F-ZONE 1
BARW,L,Barrier Wall Dividing Traffic (All Types),F-ZONE 1
BAS,L,Sediment Basins Retention Ponds,F-ZONE 2
BCATVA,L,Cable TV Line Quality Level A Locate (Buried),F-ZONE 3
BCATVB,L,Cable TV Line Quality Level B Designate (Buried),F-ZONE 3
BCATVC,L,Cable TV Line Quality Level C Visual Inspection (Buried),F-ZONE 3
BCATVD,L,Cable TV Line Quality Level D Existing Records (Buried),F-ZONE 3
BGV,L,Vaults Below Grade,F-ZONE 3
BIKE,P,Bicycle Symbol,F-ZONE 1
BKRK,P,Bicycle Rack (All Sizes),F-ZONE 1
BL,L,Baseline Survey,F-ZONE 6
BLC,L,Baseline Survey Control (Traverse Line),NOT USED
BLDG,L,Buildings,F-ZONE 1
BLF,L,Baseline Survey Field (Calculated from BLC),NOT USED
BLSS,L,Baseline Side Street,F-ZONE 6
BN,P,Beacons and Path Illumination,F-ZONE 3
BNCH,P,Bench,F-ZONE 1
BNK,L,Embankment (Manmade Top or Bottom),F-ZONE 1
BOH,L,Building Roof Overhangs (Encroachments),F-ZONE 1
BOL,P,Bollards,F-ZONE 1
BPWRA,L,Electrical Quality Level A Locate (Buried),F-ZONE 3
BPWRB,L,Electrical Quality Level B Designate (Buried),F-ZONE 3
BPWRC,L,Electrical Quality Level C Visual Inspection (Buried),F-ZONE 3
BPWRD,L,Electrical Quality Level D Existing Records (Buried),F-ZONE 3
BRCK,L,Brick Pavement Edge (Brick Roadways and Sidewalks),F-ZONE 1
BRDG,L,Bridge Elements,F-ZONE 4
BSECA,L,Conductor (Secondary Distribution) Quality Level A Locate (Buried),F-ZONE 3
BSECB,L,Conductor (Secondary Distribution) Quality Level B Designate (Buried),F-ZONE 3
BSECC,L,Conductor (Secondary Distribution) Quality Level C Visual Inspection (Buried),F-ZONE 3
BSECD,L,Conductor (Secondary Distribution) Quality Level D Existing Records (Buried),F-ZONE 3
BSTP,L,Bus Stop,F-ZONE 1
BTA,L,Telephone (All Sizes) Quality Level A Locate (Buried),F-ZONE 3
BTB,L,Telephone (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
BTC,L,Telephone (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
BTD,L,Telephone (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
BTDA,L,Telephone DUCT (All Sizes) Quality Level A Locate (Buried),F-ZONE 3
BTDB,L,Telephone DUCT (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
BTDC,L,Telephone DUCT (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
BTDD,L,Telephone DUCT (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
BTTA,L,Telephone TOLL (All Sizes) Quality Level A Locate (Buried),F-ZONE 3
BTTB,L,Telephone TOLL (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
BTTC,L,Telephone TOLL (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
BTTD,L,Telephone TOLL (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
BUOY,P,Buoy,F-ZONE 1
BUS,P,Bus Symbol,F-ZONE 1
BXC,L,Box Culvert,F-ZONE 2
CAN,L,Canal Lock,F-ZONE 1
CAPA,L,Capacitors (Above Ground),F-ZONE 3
CAPB,L,Capacitors (Buried),F-ZONE 3
CATV,L,Cable TV Line (Aerial),F-ZONE 3
CATVCA,L,Cable TV Conduit System Quality Level A Locate (Buried),F-ZONE 3
CATVCB,L,Cable TV Conduit System Quality Level B Designate (Buried),F-ZONE 3
CATVCC,L,Cable TV Conduit System Quality Level C Visual Inspection (Buried),F-ZONE 3
CATVCD,L,Cable TV Conduit System Quality Level D Existing Records (Buried),F-ZONE 3
CATVS,P,Cable TV Service Box and Miscellaneous Pole,F-ZONE 3
CB,L,Catch Basins,F-ZONE 2
CBR,L,Cable Barrier,F-ZONE 1
CCMON,P,Control Monuments - Concrete (Cast),F-ZONE 5
CCR,L,Curb Cut Ramp,F-ZONE 1
CDH,P,Control Monuments - Drill Hole Plug,F-ZONE 5
CDRM,P,Control Monuments - Deep Rod Mark,F-ZONE 5
CEM,L,Cemetery Grave Outlines,F-ZONE 1
