Feature Code,Level Name,Level Description,Point / Line,Zone
AGV,VaultsAG_ep,Vaults Above Grade (Existing),L,3
ANT,Antenna_ep,Antenna (Existing),P,3
BCATVA,CATVBurA_ep,Cable TV Line Quality Level A Locate (Buried) (Existing),L,3
BCATVB,CATVBurB_ep,Cable TV Line Quality Level B Designate (Buried) (Existing),L,3
BCATVC,CATVBurC_ep,Cable TV Line Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BCATVD,CATVBurD_ep,Cable TV Line Quality Level D Existing Records (Buried) (Existing),L,3
BGV,VaultsBG_ep,Vaults Below Grade (Existing),L,3
BN,Beacons_ep,Beacons and Path Illumination (Existing),P,3
BPWRA,ElecBurA_ep,Electrical Quality Level A Locate (Buried) (Existing),L,3
BPWRB,ElecBurB_ep,Electrical Quality Level B Designate (Buried) (Existing),L,3
BPWRC,ElecBurC_ep,Electrical Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BPWRD,ElecBurD_ep,Electrical Quality Level D Existing Records (Buried) (Existing),L,3
BSECA,ElecBurSecA_ep,Conductor (Secondary Distribution) Quality Level A Locate (Buried) (Existing),L,3
BSECB,ElecBurSecB_ep,Conductor (Secondary Distribution) Quality Level B Designate (Buried) (Existing),L,3
BSECC,ElecBurSecC_ep,Conductor (Secondary Distribution) Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BSECD,ElecBurSecD_ep,Conductor (Secondary Distribution) Quality Level D Existing Records (Buried) (Existing),L,3
BTA,TeleBurA_ep,Telephone (All Sizes) Quality Level A Locate (Buried) (Existing),L,3
BTB,TeleBurB_ep,Telephone (All Sizes) Quality Level B Designate (Buried) (Existing),L,3
BTC,TeleBurC_ep,Telephone (All Sizes) Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BTD,TeleBurD_ep,Telephone (All Sizes) Quality Level D Existing Records (Buried) (Existing),L,3
BTDA,TeleBurDA_ep,Telephone DUCT (All Sizes) Quality Level A Locate (Buried) (Existing),L,3
BTDB,TeleBurDB_ep,Telephone DUCT (All Sizes) Quality Level B Designate (Buried) (Existing),L,3
BTDC,TeleBurDC_ep,Telephone DUCT (All Sizes) Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BTDD,TeleBurDD_ep,Telephone DUCT (All Sizes) Quality Level D Existing Records (Buried) (Existing),L,3
BTTA,TeleBurTA_ep,Telephone TOLL (All Sizes) Quality Level A Locate (Buried) (Existing),L,3
BTTB,TeleBurTB_ep,Telephone TOLL (All Sizes) Quality Level B Designate (Buried) (Existing),L,3
BTTC,TeleBurTC_ep,Telephone TOLL (All Sizes) Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BTTD,TeleBurTD_ep,Telephone TOLL (All Sizes) Quality Level D Existing Records (Buried) (Existing),L,3
CAPA,ElecCAPA_ep,Capacitors (Above Ground) (Existing),L,3
CAPB,ElecCAPB_ep,Capacitors (Buried) (Existing),L,3
CATV,CATVAer_ep,Cable TV Line (Aerial) (Existing),L,3
CATVCA,CATVCondBurA_ep,Cable TV Conduit System Quality Level A Locate (Buried) (Existing),L,3
CATVCB,CATVCondBurB_ep,Cable TV Conduit System Quality Level B Designate (Buried) (Existing),L,3
