FDOT Surey Feature Codes 11/15/2019,,,,
"Feature Code",LEVEL NAME,Level Description,Point / Line, ZONE
AC,PavtAsphaltCrown,Asphalt Pavement Crown (Existing),L,1
AGF,AgricultField,Agricultural Field or Farmland (Not Groves or Orchards) (Existing),L,1
AGV,VaultsAG,Vaults Above Grade (Existing),L,3
AP,PavtAsphalt,Asphalt Pavement Edge (Existing),L,1
APRS,Bridge,Bridge Approaches and Slabs (Existing),L,1
ARST,ArchSite,Archeological Site (Existing),L,1
ATTN,Attenuator,Attenuator Systems (Existing),L,1
BARW,WallBarrier,Barrier Wall Dividing Traffic (All Types) (Existing),L,1
BAS,Basins,"Sediment Basins, Retention Ponds (Existing)",L,2
BCATVA,CATVBurA,Cable TV Line Quality Level A Locate (Buried) (Existing),L,3
BCATVB,CATVBurB,Cable TV Line Quality Level B Designate (Buried) (Existing),L,3
BCATVC,CATVBurC,Cable TV Line Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BCATVD,CATVBurD,Cable TV Line Quality Level D Existing Records (Buried) (Existing),L,3
BGV,VaultsBG,Vaults Below Grade (Existing),L,3
BL,BaselineSurvey,Baseline Survey,L,6
BLC,BLSurveyCntrl,Baseline Survey Control (Traverse Line),L,5
BLDG,Building,Buildings (Existing),L,1
BLF,BLSurveyField,Baseline Survey Field (Calculated from BLC),L,6
BLSS,BaselineSideStreet,Baseline Side Street,L,6
BNK,BankMent,"Embankment (Manmade, Top or Bottom) (Existing)",L,1
BOH,BuildingOH,Building Roof Overhangs (Encroachments) (Existing),L,1
BPWRA,ElecBurA,Electrical Quality Level A Locate (Buried) (Existing),L,3
BPWRB,ElecBurB,Electrical Quality Level B Designate (Buried) (Existing),L,3
BPWRC,ElecBurC,Electrical Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BPWRD,ElecBurD,Electrical Quality Level D Existing Records (Buried) (Existing),L,3
BRCK,PavtBrick,Brick Pavement Edge (Brick Roadways and Sidewalks)  (Existing),L,1
BRDG,BridgeEle,Bridge Elements (Existing),L,4
BSECA,ElecBurSecA,Conductor (Secondary Distribution) Quality Level A Locate (Buried) (Existing),L,3
BSECB,ElecBurSecB,Conductor (Secondary Distribution) Quality Level B Designate (Buried) (Existing),L,3
BSECC,ElecBurSecC,Conductor (Secondary Distribution) Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BSECD,ElecBurSecD,Conductor (Secondary Distribution) Quality Level D Existing Records (Buried) (Existing),L,3
BSTP,BusStop,Bus Stop (Chain for Larger Structures) (Existing),L,1
BTA,TeleBurA,Telephone (All Sizes) Quality Level A Locate (Buried) (Existing),L,3
BTB,TeleBurB,Telephone (All Sizes) Quality Level B Designate (Buried) (Existing),L,3
BTC,TeleBurC,Telephone (All Sizes) Quality Level C Above Ground Evidence (Buried) (Existing),L,3
BTD,TeleBurD,Telephone (All Sizes) Quality Level D Existing Records (Buried) (Existing),L,3
BTDA,TeleBurDA,"Telephone, DUCT (All Sizes) Quality Level A Locate (Buried) (Existing)",L,3
BTDB,TeleBurDB,"Telephone, DUCT (All Sizes) Quality Level B Designate (Buried) (Existing)",L,3
BTDC,TeleBurDC,"Telephone, DUCT (All Sizes) Quality Level C Above Ground Evidence (Buried) (Existing)",L,3
BTDD,TeleBurDD,"Telephone, DUCT (All Sizes) Quality Level D Existing Records (Buried) (Existing)",L,3
BTTA,TeleBurTA,"Telephone, TOLL (All Sizes) Quality Level A Locate (Buried) (Existing)",L,3
BTTB,TeleBurTB,"Telephone, TOLL (All Sizes) Quality Level B Designate (Buried) (Existing)",L,3
BTTC,TeleBurTC,"Telephone, TOLL (All Sizes) Quality Level C Above Ground Evidence (Buried) (Existing)",L,3
BTTD,TeleBurTD,"Telephone, TOLL (All Sizes) Quality Level D Existing Records (Buried) (Existing)",L,3
BXC,BoxCulvert,Box Culvert (Existing),L,2
CAN,Canal,"Canal, Lock (Existing)",L,1
CAPA,ElecCAPA,Capacitors (Above Ground) (Existing),L,3
CAPB,ElecCAPB,Capacitors (Buried) (Existing),L,3
CATV,CATVAer,Cable TV Line (Aerial) (Existing),L,3
CATVCA,CATVCondBurA,Cable TV Conduit System Quality Level A Locate (Buried) (Existing),L,3
CATVCB,CATVCondBurB,Cable TV Conduit System Quality Level B Designate (Buried) (Existing),L,3
CATVCC,CATVCondBurC,Cable TV Conduit System Quality Level C Above Ground Evidence (Buried) (Existing),L,3
CATVCD,CATVCondBurD,Cable TV Conduit System Quality Level D Existing Records (Buried) (Existing),L,3
CB,CatchBasin,Catch Basins (Existing),L,2
CBR,CableBarrier,Cable Barrier (Existing),L,1
CCR,CurbRamp,Curb Cut Ramp (Existing),L,1
CEM,Cemetery,"Cemetery, Grave Outlines (Existing)",L,1
CG,CGep,Curb / Curb and Gutter (at EP & FL) (Existing),L,1
CGB,CGBack,Curb and Gutter (Back) (Existing),L,1
CGF,CGFace,Curb and Gutter (Face) (Existing),L,1
CINL,InletCurb,Curb Inlets (Existing),L,2
CLC,CLConst_dp,Centerline Construction,L,6
CNPY,Canopy,"Shelters of All Kinds (Gas Station, Toll Plaza, etc.) (Existing)",L,1
COE,WetlandCOE,Unitied States Army Corps of Engineers (COE) Wetlands (Marsh or Swamp) (Existing),L,1
COL,GovCountyLine,Government: County Line (Existing),L,9
CONV,Conveyor,"Conveyor Belt Systems (All Types) (Industrial, Agricultural, etc.) (Existing)",L,1
CPVC,PavtConcreteCrown,Concrete Pavement (Crown) (Existing),L,1
CPVJ,PavtConcJoints,Concrete Pavement (Joints) (Existing),L,1
CPVT,PavtConcrete,Concrete Pavement (Edges) (Existing),L,1
CRW,CurbRampWarning,Detectable Warnings on Curb Ramps (Existing),L,1
CSL,ConcSlabs,Concrete Slabs (Existing),L,1
CYL,GovCityLimitLine,Government: City Limit Line (Existing),L,9
DECK,Deck,Deck / Porch (Existing),L,1
DEP,WetlandDEP,Water Management Districts (WMD) & Florida Department of Environmental Protection (DEP) Wetlands (Existing),L,1
DFL,FlowLine,"Ditch Flow Line Direction (Ditches, Swells, etc.) (Existing)",L,2
DOCK,Docks,Docks and Wharfs (Existing),L,1
DRIP,TreeDripLine,Tree Drip Line for Delineating Root Systems (Existing),L,1
DRNB,InletBottom,Drainage Structure Bottoms (Existing),L,2
DRNP,DrainPipes,Drainage Pipes and Spouts (Existing),L,2
DTCH,Ditch,"Ditch (Top, Bottom and Flow Lines) (Existing)",L,2
DTCHI,InletDBI,Ditch Bottom Inlet (Existing),L,2
DTCHP,DitchPavt,Ditch Pavement (Existing),L,2
DUCTA,ConduitA,Utility Conduit & Encasements Quality Level A Locate (Existing),L,3
DUCTB,ConduitB,Utility Conduit & Encasements Quality Level B Designate (Buried) (Existing),L,3
DUCTC,ConduitC,Utility Conduit & Encasements Quality Level C Above Ground Evidence (Buried) (Existing),L,3
DUCTD,ConduitD,Utility Conduit & Encasements Quality Level D Existing Records (Buried) (Existing),L,3
DUMB,DummyChains,Dummy Chains (Existing),L,1
DWY,Driveway,"Driveway (Drive, Lane, Turnouts) (Existing)",L,1
ECP,ElecMultiCtrl,Electric Control Panel with Multiple Controls (Existing),L,3
